@relation forestFires
@attribute X integer [1, 9]
@attribute Y integer [2, 9]
@attribute Month integer [1, 12]
@attribute Day integer [1, 7]
@attribute FFMC real [18.7, 96.2]
@attribute DMC real [1.1, 291.3]
@attribute DC real [7.9, 860.6]
@attribute ISI real [0.0, 56.1]
@attribute Temp real [2.2, 33.3]
@attribute RH integer [15, 100]
@attribute Wind real [0.4, 9.4]
@attribute Rain real [0.0, 6.4]
@attribute Area real [0.0, 1090.84]
@inputs X, Y, Month, Day, FFMC, DMC, DC, ISI, Temp, RH, Wind, Rain
@outputs Area
@data
6, 5, 9, 6, 87.1, 291.3, 860.6, 4, 17, 67, 4.9, 0, 3.95
2, 4, 8, 1, 93.6, 97.9, 542, 14.4, 28.3, 32, 4, 0, 8.85
4, 6, 12, 5, 84.7, 26.7, 352.6, 4.1, 2.2, 59, 4.9, 0, 9.27
4, 3, 9, 1, 91.6, 108.4, 764, 6.2, 9.8, 86, 1.8, 0, 0
4, 3, 9, 5, 92.5, 122, 789.7, 10.2, 17.3, 45, 4, 0, 3.94
7, 6, 7, 3, 91.2, 183.1, 437.7, 12.5, 12.6, 90, 7.6, 0.2, 0
8, 3, 6, 1, 88.2, 96.2, 229, 4.7, 14.3, 79, 4, 0, 1.94
2, 2, 8, 2, 94.8, 108.3, 647.1, 17, 24.6, 22, 4.5, 0, 10.01
1, 4, 8, 6, 90.2, 96.9, 624.2, 8.9, 14.2, 53, 1.8, 0, 3.5
6, 5, 8, 2, 94.3, 131.7, 607.1, 22.7, 19.4, 55, 4, 0, 0.17
6, 4, 9, 2, 91, 129.5, 692.6, 7, 18.3, 40, 2.7, 0, 0
6, 5, 12, 2, 85.4, 25.4, 349.7, 2.6, 5.1, 24, 8.5, 0, 24.77
7, 4, 9, 1, 91.6, 108.4, 764, 6.2, 19.3, 44, 2.2, 0, 0
2, 2, 9, 5, 92.4, 117.9, 668, 12.2, 23, 37, 4.5, 0, 0
5, 6, 8, 7, 91.6, 181.3, 613, 7.6, 24.3, 33, 3.6, 0, 3.63
7, 4, 7, 6, 91.6, 104.2, 474.9, 9, 24.3, 30, 1.8, 0, 0
2, 4, 9, 7, 92.4, 105.8, 758.1, 9.9, 24.9, 27, 2.2, 0, 0
8, 6, 8, 1, 92.1, 207, 672.6, 8.2, 25.5, 29, 1.8, 0, 1.23
3, 4, 8, 2, 96.1, 181.1, 671.2, 14.3, 32.3, 27, 2.2, 0, 14.68
