@relation forestFires
@attribute X integer [1, 9]
@attribute Y integer [2, 9]
@attribute Month integer [1, 12]
@attribute Day integer [1, 7]
@attribute FFMC real [18.7, 96.2]
@attribute DMC real [1.1, 291.3]
@attribute DC real [7.9, 860.6]
@attribute ISI real [0.0, 56.1]
@attribute Temp real [2.2, 33.3]
@attribute RH integer [15, 100]
@attribute Wind real [0.4, 9.4]
@attribute Rain real [0.0, 6.4]
@attribute Area real [0.0, 1090.84]
@inputs X, Y, Month, Day, FFMC, DMC, DC, ISI, Temp, RH, Wind, Rain
@outputs Area
@data
3, 4, 9, 7, 89.6, 84.1, 714.3, 5.7, 23.8, 35, 3.6, 0, 5.18
8, 6, 9, 6, 92.5, 121.1, 674.4, 8.6, 17.8, 56, 1.8, 0, 1.95
2, 4, 3, 2, 93.4, 15, 25.6, 11.4, 15.2, 19, 7.6, 0, 0
4, 5, 8, 7, 90.2, 99.6, 631.2, 6.3, 21.4, 33, 3.1, 0, 0
8, 6, 9, 4, 93.7, 80.9, 685.2, 17.9, 23.7, 25, 4.5, 0, 1.12
4, 4, 8, 2, 96.1, 181.1, 671.2, 14.3, 20.7, 69, 4.9, 0.4, 0
4, 4, 9, 7, 89.7, 90, 704.4, 4.8, 17.8, 64, 1.3, 0, 0
5, 4, 2, 7, 86.8, 15.6, 48.3, 3.9, 12.4, 53, 2.2, 0, 6.38
3, 4, 9, 3, 91.2, 134.7, 817.5, 7.2, 18.5, 30, 2.7, 0, 0
9, 9, 2, 5, 86.6, 13.2, 43, 5.3, 15.7, 43, 3.1, 0, 0
2, 4, 8, 4, 91.6, 248.4, 753.8, 6.3, 16.6, 59, 2.7, 0, 0
1, 2, 8, 5, 91, 166.9, 752.6, 7.1, 25.9, 41, 3.6, 0, 0
2, 4, 8, 7, 94.2, 122.3, 589.9, 12.9, 15.4, 66, 4, 0, 10.13
2, 4, 8, 2, 94.8, 108.3, 647.1, 17, 20.1, 40, 4, 0, 0
1, 2, 8, 4, 91.7, 114.3, 661.3, 6.3, 20.2, 45, 3.6, 0, 0
8, 6, 8, 6, 92.2, 81.8, 480.8, 11.9, 20.1, 34, 4.5, 0, 58.3
2, 4, 8, 7, 93.6, 235.1, 723.1, 10.1, 20.9, 66, 4.9, 0, 15.34
4, 5, 9, 4, 92.9, 137, 706.4, 9.2, 21.5, 15, 0.9, 0, 11.06
7, 4, 2, 1, 84.7, 9.5, 58.3, 4.1, 7.5, 71, 6.3, 0, 9.96
7, 4, 2, 5, 84.6, 3.2, 43.6, 3.3, 8.2, 53, 9.4, 0, 4.62
7, 4, 9, 1, 90.9, 126.5, 686.5, 7, 19.4, 48, 1.3, 0, 0
4, 5, 9, 4, 92.4, 96.2, 739.4, 8.6, 18.6, 24, 5.8, 0, 0
8, 6, 8, 6, 94.2, 117.2, 581.1, 11, 23.9, 41, 2.2, 0, 8.02
6, 6, 8, 6, 96, 164, 643, 14, 30.8, 30, 4.9, 0, 8.59
4, 4, 9, 7, 93.5, 149.3, 728.6, 8.1, 22.9, 39, 4.9, 0, 48.55
6, 3, 7, 2, 92.7, 164.1, 575.8, 8.9, 26.3, 39, 3.1, 0, 7.02
5, 5, 3, 4, 90.9, 18.9, 30.6, 8, 11.6, 48, 5.4, 0, 0
1, 2, 8, 5, 90.1, 108, 529.8, 12.5, 14.7, 66, 2.7, 0, 0
4, 4, 9, 5, 92.1, 99, 745.3, 9.6, 15.4, 53, 6.3, 0, 7.31
5, 4, 9, 6, 92.2, 102.3, 751.5, 8.4, 24.1, 27, 3.1, 0, 0
3, 4, 7, 6, 90.1, 51.2, 424.1, 6.2, 24.6, 43, 1.8, 0, 1.43
7, 4, 10, 1, 91.7, 48.5, 696.1, 11.1, 16.8, 45, 4.5, 0, 6.83
