@relation forestFires
@attribute X integer [1, 9]
@attribute Y integer [2, 9]
@attribute Month integer [1, 12]
@attribute Day integer [1, 7]
@attribute FFMC real [18.7, 96.2]
@attribute DMC real [1.1, 291.3]
@attribute DC real [7.9, 860.6]
@attribute ISI real [0.0, 56.1]
@attribute Temp real [2.2, 33.3]
@attribute RH integer [15, 100]
@attribute Wind real [0.4, 9.4]
@attribute Rain real [0.0, 6.4]
@attribute Area real [0.0, 1090.84]
@inputs X, Y, Month, Day, FFMC, DMC, DC, ISI, Temp, RH, Wind, Rain
@outputs Area
@data
6, 3, 2, 7, 84.9, 27.5, 353.5, 3.4, 4.2, 51, 4, 0, 0
1, 2, 8, 5, 91, 166.9, 752.6, 7.1, 18.5, 73, 8.5, 0, 0
5, 4, 8, 7, 91.8, 175.1, 700.7, 13.8, 25.7, 39, 5.4, 0, 0.09
1, 3, 9, 1, 88.6, 91.8, 709.9, 7.1, 12.4, 73, 6.3, 0, 30.32
2, 5, 8, 6, 93.7, 231.1, 715.1, 8.4, 23.6, 53, 4, 0, 6.43
6, 3, 8, 4, 91.6, 138.1, 621.7, 6.3, 18.9, 41, 3.1, 0, 10.34
7, 3, 10, 6, 90.6, 43.7, 686.9, 6.7, 17.8, 27, 4, 0, 0
8, 6, 10, 3, 91.4, 37.9, 673.8, 5.2, 20.2, 37, 2.7, 0, 13.7
2, 2, 8, 2, 92.1, 152.6, 658.2, 14.3, 23.7, 24, 3.1, 0, 0
4, 4, 9, 4, 92.9, 137, 706.4, 9.2, 20.8, 17, 1.3, 0, 0
4, 4, 8, 2, 95.1, 141.3, 605.8, 17.7, 19.4, 71, 7.6, 0, 46.7
5, 4, 9, 4, 92.8, 119, 783.5, 7.5, 21.6, 28, 6.3, 0, 4.41
2, 5, 8, 7, 90.2, 99.6, 631.2, 6.3, 19.2, 44, 2.7, 0, 4.69
4, 4, 12, 1, 85.4, 25.4, 349.7, 2.6, 4.6, 21, 8.5, 0, 17.85
4, 5, 9, 3, 92.9, 133.3, 699.6, 9.2, 19.4, 19, 1.3, 0, 31.72
2, 2, 2, 1, 84, 9.3, 34, 2.1, 13.9, 40, 5.4, 0, 0
5, 4, 3, 5, 91.7, 33.3, 77.5, 9, 15.6, 25, 6.3, 0, 0
2, 2, 8, 2, 94.8, 108.3, 647.1, 17, 24.6, 22, 4.5, 0, 8.71
6, 5, 3, 7, 90.1, 37.6, 83.7, 7.2, 12.4, 54, 3.6, 0, 12.1
7, 4, 8, 7, 94.8, 108.3, 647.1, 17, 16.4, 47, 1.3, 0, 1.56
3, 4, 3, 1, 90.1, 39.7, 86.6, 6.2, 10.6, 30, 4, 0, 0
6, 3, 8, 5, 91.1, 141.1, 629.1, 7.1, 19.3, 39, 3.6, 0, 1.56
6, 5, 9, 2, 91.9, 111.7, 770.3, 6.5, 19.6, 45, 3.1, 0, 20.03
8, 5, 10, 1, 84.9, 32.8, 664.2, 3, 16.7, 47, 4.9, 0, 0
2, 4, 9, 1, 91.6, 108.4, 764, 6.2, 20.4, 41, 1.8, 0, 1.47
7, 4, 7, 7, 93.7, 101.3, 423.4, 14.7, 18.2, 82, 4.5, 0, 2.21
9, 9, 2, 4, 84.2, 6.8, 26.6, 7.7, 6.7, 79, 3.1, 0, 0
8, 5, 9, 7, 89.7, 90, 704.4, 4.8, 17.8, 67, 2.2, 0, 2.01
3, 4, 8, 1, 91.5, 145.4, 608.2, 10.7, 17.1, 43, 5.4, 0, 0
8, 5, 8, 3, 93.1, 157.3, 666.7, 13.5, 26.8, 25, 3.1, 0, 0.68
4, 6, 12, 4, 84.6, 26.4, 352, 2, 5.1, 61, 4.9, 0, 5.38
5, 6, 9, 1, 90.9, 126.5, 686.5, 7, 14.7, 70, 3.6, 0, 0
7, 4, 9, 5, 92.1, 99, 745.3, 9.6, 19.8, 47, 2.7, 0, 1.72
2, 2, 2, 6, 79.5, 3.6, 15.3, 1.8, 4.6, 59, 0.9, 0, 6.84
3, 5, 10, 3, 91.4, 37.9, 673.8, 5.2, 15.9, 46, 3.6, 0, 0
7, 4, 8, 7, 91.4, 142.4, 601.4, 10.6, 20.1, 39, 5.4, 0, 2.74
4, 5, 8, 3, 95.2, 217.7, 690, 18, 23.4, 49, 5.4, 0, 6.43
8, 6, 9, 1, 91.9, 111.7, 770.3, 6.5, 15.7, 51, 2.2, 0, 0
7, 4, 2, 7, 83.9, 8.7, 32.1, 2.1, 8.8, 68, 2.2, 0, 13.05
6, 3, 9, 1, 88.6, 91.8, 709.9, 7.1, 11.2, 78, 7.6, 0, 0
8, 6, 8, 4, 95.2, 131.7, 578.8, 10.4, 20.7, 45, 2.2, 0, 2.55
4, 4, 3, 2, 88.1, 25.7, 67.6, 3.8, 14.1, 43, 2.7, 0, 0
2, 2, 9, 5, 92.4, 117.9, 668, 12.2, 19.6, 33, 6.3, 0, 0
3, 5, 9, 5, 93.5, 149.3, 728.6, 8.1, 17.2, 43, 3.1, 0, 0
1, 3, 9, 6, 91.2, 94.3, 744.4, 8.4, 22.3, 48, 4, 0, 0.72
6, 5, 9, 6, 92.5, 121.1, 674.4, 8.6, 25.1, 27, 4, 0, 1090.84
2, 5, 9, 3, 90.1, 82.9, 735.7, 6.2, 18.3, 45, 2.2, 0, 4.88
1, 2, 8, 3, 95.5, 99.9, 513.3, 13.2, 23.3, 31, 4.5, 0, 0.55
8, 6, 6, 7, 90.4, 89.5, 290.8, 6.4, 15.4, 45, 2.2, 0, 0
2, 5, 7, 6, 90.8, 84.7, 376.6, 5.6, 23.8, 51, 1.8, 0, 0
4, 3, 10, 7, 92.6, 46.5, 691.8, 8.8, 13.8, 50, 2.7, 0, 0
3, 4, 3, 6, 91.7, 35.8, 80.8, 7.8, 11.6, 30, 6.3, 0, 0
3, 4, 8, 2, 92.1, 152.6, 658.2, 14.3, 21, 32, 3.1, 0, 0
8, 6, 8, 2, 88.8, 147.3, 614.5, 9, 14.4, 66, 5.4, 0, 5.23
6, 5, 3, 4, 90.9, 18.9, 30.6, 8, 8.7, 51, 5.8, 0, 0
3, 4, 8, 4, 91.6, 248.4, 753.8, 6.3, 16.8, 56, 3.1, 0, 0
7, 4, 9, 7, 91, 276.3, 825.1, 7.1, 13.8, 77, 7.6, 0, 11.06
7, 4, 8, 7, 91.8, 175.1, 700.7, 13.8, 21.9, 73, 7.6, 1, 0
7, 4, 7, 6, 91.6, 104.2, 474.9, 9, 22.1, 49, 2.7, 0, 0
6, 5, 3, 5, 91.2, 48.3, 97.8, 12.5, 11.7, 33, 4, 0, 8.31
6, 5, 8, 3, 92.1, 111.2, 654.1, 9.6, 16.6, 47, 0.9, 0, 2.29
8, 6, 8, 6, 93.7, 231.1, 715.1, 8.4, 26.9, 31, 3.6, 0, 4.96
2, 4, 8, 1, 95, 135.5, 596.3, 21.3, 30.6, 28, 3.6, 0, 2.07
4, 4, 8, 2, 92.1, 152.6, 658.2, 14.3, 19.1, 53, 2.7, 0, 4.4
4, 3, 8, 6, 94.2, 117.2, 581.1, 11, 21.4, 44, 2.7, 0, 0.68
3, 4, 2, 3, 86.9, 6.6, 18.7, 3.2, 8.8, 35, 3.1, 0, 1.1
2, 2, 9, 1, 91.5, 130.1, 807.1, 7.5, 16.8, 43, 3.1, 0, 5.83
2, 5, 8, 2, 92.1, 152.6, 658.2, 14.3, 20.2, 47, 4, 0, 3.09
6, 5, 3, 4, 84.9, 18.2, 55, 3, 5.3, 70, 4.5, 0, 2.14
1, 2, 7, 5, 90.7, 80.9, 368.3, 16.8, 14.8, 78, 8, 0, 0
3, 4, 8, 7, 94.9, 130.3, 587.1, 14.1, 23.4, 40, 5.8, 0, 1.29
3, 4, 2, 6, 83.9, 8, 30.2, 2.6, 12.7, 48, 1.8, 0, 0
7, 5, 8, 2, 96.1, 181.1, 671.2, 14.3, 27.3, 63, 4.9, 6.4, 10.82
6, 5, 3, 5, 91.2, 48.3, 97.8, 12.5, 14.6, 26, 9.4, 0, 2.53
2, 5, 9, 1, 90.9, 126.5, 686.5, 7, 21.9, 39, 1.8, 0, 0.47
3, 4, 8, 5, 91.6, 112.4, 573, 8.9, 11.2, 84, 7.6, 0, 3.3
4, 3, 8, 7, 90.2, 99.6, 631.2, 6.3, 21.5, 34, 2.2, 0, 0
7, 6, 7, 2, 93.1, 180.4, 430.8, 11, 26.9, 28, 5.4, 0, 86.45
4, 4, 8, 2, 94.8, 108.3, 647.1, 17, 16.6, 54, 5.4, 0, 0
6, 5, 9, 6, 91.2, 94.3, 744.4, 8.4, 16.8, 47, 4.9, 0, 12.64
6, 4, 8, 4, 95.2, 131.7, 578.8, 10.4, 20.3, 41, 4, 0, 1.9
4, 3, 3, 1, 87.6, 52.2, 103.8, 5, 11, 46, 5.8, 0, 36.85
2, 5, 9, 2, 91, 129.5, 692.6, 7, 17.6, 46, 3.1, 0, 7.04
8, 4, 8, 6, 91.6, 273.8, 819.1, 7.7, 21.3, 44, 4.5, 0, 12.18
