@relation forestFires
@attribute X integer [1, 9]
@attribute Y integer [2, 9]
@attribute Month integer [1, 12]
@attribute Day integer [1, 7]
@attribute FFMC real [18.7, 96.2]
@attribute DMC real [1.1, 291.3]
@attribute DC real [7.9, 860.6]
@attribute ISI real [0.0, 56.1]
@attribute Temp real [2.2, 33.3]
@attribute RH integer [15, 100]
@attribute Wind real [0.4, 9.4]
@attribute Rain real [0.0, 6.4]
@attribute Area real [0.0, 1090.84]
@inputs X, Y, Month, Day, FFMC, DMC, DC, ISI, Temp, RH, Wind, Rain
@outputs Area
@data
1, 4, 9, 1, 92.1, 87.7, 721.1, 9.5, 18.1, 54, 3.1, 0, 2.13
4, 6, 12, 7, 84.4, 27.2, 353.5, 6.8, 4.8, 57, 8.5, 0, 8.98
1, 2, 8, 2, 91, 121.2, 561.6, 7, 21.6, 19, 6.7, 0, 0
3, 4, 8, 7, 91.4, 142.4, 601.4, 10.6, 11.6, 87, 4.5, 0, 0
7, 4, 9, 5, 92.4, 117.9, 668, 12.2, 19, 34, 5.8, 0, 1.69
2, 5, 10, 7, 92.6, 46.5, 691.8, 8.8, 15.4, 35, 0.9, 0, 0
8, 6, 8, 5, 90.1, 108, 529.8, 12.5, 21.2, 51, 8.9, 0, 0.61
6, 5, 9, 6, 92.2, 102.3, 751.5, 8.4, 19.7, 35, 1.8, 0, 0
3, 4, 8, 2, 88.8, 147.3, 614.5, 9, 14.4, 66, 5.4, 0, 0
3, 4, 8, 4, 93, 75.3, 466.6, 7.7, 19.6, 36, 3.1, 0, 0
1, 5, 9, 6, 93.4, 145.4, 721.4, 8.1, 29.6, 27, 2.7, 0, 1.46
3, 4, 10, 7, 92.6, 46.5, 691.8, 8.8, 20.6, 24, 5.4, 0, 0
6, 5, 8, 2, 96.1, 181.1, 671.2, 14.3, 33.3, 26, 2.7, 0, 40.54
3, 4, 7, 1, 94.6, 160, 567.2, 16.7, 17.9, 48, 2.7, 0, 0
6, 3, 9, 5, 92.5, 122, 789.7, 10.2, 15.9, 55, 3.6, 0, 0
9, 9, 7, 7, 90.1, 68.6, 355.2, 7.2, 24.8, 29, 2.2, 0, 1.36
6, 5, 9, 4, 88.1, 53.3, 726.9, 5.4, 13.7, 56, 1.8, 0, 4.42
6, 3, 4, 3, 88, 17.2, 43.5, 3.8, 15.2, 51, 2.7, 0, 0
5, 4, 8, 2, 95.1, 141.3, 605.8, 17.7, 26.4, 34, 3.6, 0, 16.4
4, 6, 3, 7, 89.3, 51.3, 102.2, 9.6, 10.6, 46, 4.9, 0, 0
8, 6, 8, 7, 92.3, 85.3, 488, 14.7, 20.8, 32, 6.3, 0, 0
6, 3, 9, 7, 92.4, 105.8, 758.1, 9.9, 24.8, 28, 1.8, 0, 14.29
2, 4, 9, 6, 92.5, 121.1, 674.4, 8.6, 24.1, 29, 4.5, 0, 0
5, 4, 9, 5, 93.3, 141.2, 713.9, 13.9, 27.6, 30, 1.3, 0, 0
8, 6, 8, 1, 92.1, 207, 672.6, 8.2, 26.8, 35, 1.3, 0, 0.54
6, 5, 8, 7, 92, 203.2, 664.5, 8.1, 19.1, 70, 2.2, 0, 0
3, 4, 9, 7, 89.7, 90, 704.4, 4.8, 22.8, 39, 3.6, 0, 0
8, 6, 9, 2, 91, 129.5, 692.6, 7, 13.1, 63, 5.4, 0, 0
6, 3, 9, 1, 91.8, 78.5, 724.3, 9.2, 21.2, 32, 2.7, 0, 0
2, 4, 9, 7, 92.4, 105.8, 758.1, 9.9, 16, 45, 1.8, 0, 0
