@relation contraceptive
@attribute Wife_age integer[16,49]
@attribute Wife_education integer[1,4]
@attribute Husband_education integer[1,4]
@attribute Children integer[0,16]
@attribute Wife_religion integer[0,1]
@attribute Wife_working integer[0,1]
@attribute Husband_occupation integer[1,4]
@attribute Standard-of-living integer[1,4]
@attribute Media_exposure integer[0,1]
@attribute Contraceptive_method {1,2,3}
@inputs Wife_age, Wife_education, Husband_education, Children, Wife_religion, Wife_working, Husband_occupation, Standard-of-living, Media_exposure 
@output Contraceptive_method
@data
38, 2, 3, 6, 1, 1, 3, 2, 0, 1
42, 2, 4, 1, 1, 0, 3, 3, 0, 1
26, 3, 4, 1, 1, 0, 4, 1, 0, 1
38, 4, 4, 1, 1, 0, 1, 4, 0, 1
48, 2, 4, 2, 1, 1, 1, 3, 0, 1
40, 4, 4, 2, 0, 1, 1, 4, 0, 1
21, 2, 3, 0, 1, 1, 3, 4, 0, 1
29, 4, 4, 0, 1, 0, 2, 4, 0, 1
44, 3, 4, 4, 1, 0, 1, 3, 0, 1
49, 4, 3, 5, 1, 1, 2, 3, 0, 1
38, 1, 2, 1, 1, 1, 2, 4, 1, 1
45, 4, 4, 1, 1, 1, 1, 3, 0, 1
33, 4, 4, 2, 1, 1, 1, 3, 0, 1
30, 2, 4, 2, 1, 1, 3, 4, 0, 1
33, 4, 4, 3, 1, 1, 1, 4, 0, 1
30, 4, 4, 0, 1, 0, 1, 4, 0, 1
20, 3, 4, 0, 1, 0, 2, 4, 0, 1
31, 3, 4, 3, 1, 0, 3, 2, 0, 1
45, 1, 2, 6, 1, 1, 3, 3, 1, 1
30, 1, 1, 5, 1, 1, 2, 2, 0, 1
40, 3, 4, 1, 1, 1, 1, 2, 0, 1
26, 2, 4, 0, 1, 1, 3, 1, 0, 1
32, 3, 2, 4, 1, 1, 2, 2, 1, 1
37, 1, 2, 2, 1, 1, 2, 2, 1, 1
22, 1, 2, 0, 1, 1, 2, 4, 0, 1
47, 1, 1, 6, 1, 0, 3, 1, 0, 1
22, 4, 4, 0, 1, 1, 1, 4, 0, 1
44, 4, 4, 5, 0, 1, 2, 4, 0, 1
29, 4, 4, 1, 1, 1, 1, 3, 0, 1
26, 4, 4, 1, 1, 1, 1, 4, 0, 1
32, 3, 4, 1, 0, 1, 2, 4, 0, 1
31, 2, 2, 8, 1, 1, 2, 2, 1, 1
34, 4, 3, 0, 0, 0, 3, 3, 0, 1
45, 3, 4, 3, 0, 1, 3, 4, 0, 1
40, 1, 2, 6, 1, 1, 3, 1, 1, 1
32, 2, 2, 1, 1, 1, 2, 1, 0, 1
18, 2, 3, 1, 1, 1, 2, 3, 0, 1
20, 2, 3, 1, 1, 1, 3, 4, 0, 1
47, 1, 4, 6, 1, 1, 1, 4, 0, 1
49, 1, 3, 6, 1, 1, 2, 4, 0, 1
30, 3, 4, 5, 1, 1, 1, 4, 0, 1
20, 2, 3, 3, 1, 1, 3, 4, 0, 1
36, 3, 3, 5, 1, 0, 1, 3, 0, 2
42, 2, 3, 7, 1, 1, 3, 4, 0, 2
39, 4, 4, 3, 1, 1, 1, 4, 0, 2
36, 4, 4, 3, 0, 1, 1, 3, 0, 2
32, 3, 3, 2, 1, 0, 3, 4, 0, 2
42, 4, 4, 8, 0, 1, 1, 4, 0, 2
36, 4, 4, 4, 0, 1, 1, 4, 0, 2
32, 3, 4, 7, 0, 1, 1, 3, 0, 2
29, 4, 4, 2, 1, 0, 1, 3, 0, 2
31, 3, 4, 4, 1, 1, 1, 3, 0, 2
25, 4, 4, 1, 1, 1, 1, 4, 0, 2
41, 3, 3, 5, 1, 1, 1, 4, 0, 2
27, 4, 4, 1, 0, 0, 1, 4, 0, 2
41, 4, 4, 4, 0, 0, 2, 4, 0, 2
41, 4, 4, 4, 0, 0, 2, 4, 0, 2
43, 4, 4, 3, 0, 1, 1, 4, 0, 2
48, 4, 4, 7, 0, 1, 1, 4, 0, 2
48, 4, 4, 6, 0, 1, 2, 4, 0, 2
42, 4, 3, 7, 1, 0, 1, 4, 0, 2
39, 4, 4, 3, 0, 1, 1, 4, 0, 2
44, 4, 4, 3, 1, 0, 1, 4, 0, 2
34, 3, 3, 6, 1, 1, 3, 4, 0, 2
34, 2, 2, 8, 1, 1, 2, 2, 0, 2
24, 3, 3, 2, 1, 1, 3, 3, 0, 3
24, 3, 4, 3, 1, 1, 1, 4, 0, 3
38, 3, 4, 3, 1, 1, 3, 2, 0, 3
34, 2, 3, 2, 1, 1, 2, 3, 0, 3
27, 3, 4, 2, 1, 1, 3, 2, 0, 3
46, 4, 4, 4, 1, 1, 1, 4, 0, 3
33, 2, 2, 7, 1, 0, 2, 3, 0, 3
43, 3, 3, 8, 1, 1, 1, 3, 0, 3
22, 2, 2, 2, 1, 1, 2, 3, 0, 3
32, 2, 2, 8, 1, 1, 2, 1, 0, 3
33, 2, 3, 7, 1, 0, 3, 1, 0, 3
33, 2, 4, 3, 1, 1, 3, 4, 0, 3
29, 2, 4, 4, 1, 0, 2, 4, 0, 3
23, 4, 4, 1, 1, 1, 3, 3, 0, 3
22, 4, 4, 1, 1, 0, 2, 4, 0, 3
28, 3, 4, 2, 1, 1, 3, 4, 0, 3
27, 4, 4, 1, 0, 1, 3, 4, 0, 3
25, 2, 3, 2, 1, 1, 3, 1, 0, 3
22, 4, 4, 3, 1, 1, 3, 2, 0, 3
28, 2, 4, 4, 1, 1, 3, 4, 0, 3
21, 3, 4, 1, 1, 1, 3, 2, 0, 3
21, 1, 3, 1, 1, 1, 3, 3, 1, 3
34, 2, 2, 4, 0, 1, 3, 2, 0, 3
27, 3, 4, 2, 1, 1, 1, 3, 0, 3
21, 2, 2, 1, 1, 1, 3, 2, 0, 3
37, 3, 4, 3, 0, 1, 3, 4, 0, 3
43, 3, 3, 2, 0, 0, 3, 4, 0, 3
36, 1, 3, 6, 1, 1, 3, 2, 0, 3
25, 2, 2, 1, 1, 1, 3, 1, 0, 3
24, 3, 4, 4, 1, 1, 2, 3, 0, 3
31, 4, 4, 3, 1, 0, 1, 4, 0, 3
26, 3, 4, 3, 1, 1, 3, 2, 0, 3
46, 3, 4, 9, 1, 1, 3, 4, 0, 3
28, 2, 3, 6, 1, 1, 2, 4, 0, 3
21, 2, 2, 1, 1, 1, 3, 2, 0, 1
28, 3, 4, 0, 1, 0, 1, 3, 0, 1
23, 4, 4, 1, 1, 0, 3, 3, 0, 1
41, 2, 2, 5, 0, 1, 2, 2, 0, 1
42, 4, 4, 1, 1, 0, 1, 4, 0, 1
24, 3, 4, 1, 1, 0, 3, 3, 0, 1
30, 4, 4, 1, 1, 0, 1, 4, 0, 1
35, 4, 4, 5, 1, 1, 1, 4, 0, 1
28, 2, 4, 0, 1, 1, 3, 1, 0, 1
24, 4, 4, 1, 1, 0, 1, 3, 0, 1
20, 3, 4, 2, 1, 1, 3, 2, 0, 1
39, 2, 3, 10, 1, 1, 3, 4, 0, 1
47, 2, 4, 2, 1, 1, 3, 2, 1, 1
31, 4, 4, 2, 1, 1, 1, 2, 0, 1
18, 3, 2, 1, 1, 1, 3, 1, 0, 1
32, 2, 2, 2, 1, 1, 2, 4, 0, 1
23, 3, 2, 0, 1, 1, 2, 2, 0, 1
29, 3, 4, 2, 1, 1, 3, 4, 0, 1
25, 4, 4, 3, 1, 1, 1, 2, 0, 1
48, 1, 1, 8, 1, 1, 1, 1, 1, 1
40, 1, 1, 0, 1, 1, 3, 2, 0, 1
22, 4, 4, 1, 1, 1, 1, 3, 0, 2
22, 4, 4, 1, 1, 0, 2, 2, 0, 2
