@relation contraceptive
@attribute Wife_age integer[16,49]
@attribute Wife_education integer[1,4]
@attribute Husband_education integer[1,4]
@attribute Children integer[0,16]
@attribute Wife_religion integer[0,1]
@attribute Wife_working integer[0,1]
@attribute Husband_occupation integer[1,4]
@attribute Standard-of-living integer[1,4]
@attribute Media_exposure integer[0,1]
@attribute Contraceptive_method {1,2,3}
@inputs Wife_age, Wife_education, Husband_education, Children, Wife_religion, Wife_working, Husband_occupation, Standard-of-living, Media_exposure 
@output Contraceptive_method
@data
45, 1, 1, 8, 1, 1, 2, 2, 1, 1
38, 1, 3, 2, 1, 0, 3, 3, 1, 1
44, 4, 4, 1, 1, 0, 1, 4, 0, 1
31, 3, 4, 2, 1, 1, 1, 4, 0, 1
47, 1, 2, 2, 1, 0, 1, 3, 0, 1
23, 3, 4, 2, 1, 1, 3, 4, 0, 1
45, 3, 4, 3, 1, 1, 1, 4, 0, 1
38, 4, 4, 1, 1, 0, 1, 4, 0, 1
35, 4, 4, 3, 0, 1, 1, 4, 0, 1
24, 2, 2, 3, 1, 0, 2, 1, 0, 1
26, 2, 2, 3, 1, 1, 2, 1, 0, 1
23, 2, 4, 2, 1, 1, 3, 3, 0, 1
36, 2, 3, 5, 1, 1, 2, 3, 0, 1
31, 3, 4, 2, 1, 1, 1, 2, 1, 1
25, 3, 4, 0, 1, 1, 1, 3, 0, 1
26, 4, 4, 1, 1, 1, 1, 3, 0, 1
30, 4, 4, 2, 0, 1, 3, 1, 0, 1
43, 4, 4, 5, 1, 1, 1, 4, 0, 1
23, 4, 4, 2, 1, 1, 2, 4, 0, 1
36, 2, 3, 4, 1, 1, 3, 1, 1, 1
30, 1, 2, 4, 1, 1, 4, 1, 0, 1
32, 2, 4, 2, 1, 1, 3, 3, 0, 1
32, 4, 4, 1, 1, 1, 1, 4, 0, 1
31, 3, 3, 2, 1, 0, 2, 3, 0, 1
47, 4, 4, 4, 1, 1, 1, 4, 0, 1
32, 3, 4, 4, 1, 1, 1, 4, 0, 1
47, 1, 2, 7, 1, 0, 3, 2, 0, 1
43, 1, 3, 5, 1, 0, 3, 2, 0, 1
49, 2, 4, 6, 0, 1, 2, 3, 0, 1
