@relation contraceptive
@attribute Wife_age integer[16,49]
@attribute Wife_education integer[1,4]
@attribute Husband_education integer[1,4]
@attribute Children integer[0,16]
@attribute Wife_religion integer[0,1]
@attribute Wife_working integer[0,1]
@attribute Husband_occupation integer[1,4]
@attribute Standard-of-living integer[1,4]
@attribute Media_exposure integer[0,1]
@attribute Contraceptive_method {1,2,3}
@inputs Wife_age, Wife_education, Husband_education, Children, Wife_religion, Wife_working, Husband_occupation, Standard-of-living, Media_exposure 
@output Contraceptive_method
@data
24, 2, 3, 3, 1, 1, 2, 3, 0, 1
26, 2, 4, 0, 1, 1, 4, 1, 0, 1
48, 1, 1, 7, 1, 1, 2, 4, 0, 1
37, 2, 2, 8, 1, 1, 2, 3, 0, 1
24, 3, 4, 0, 1, 0, 3, 1, 0, 1
39, 4, 4, 1, 1, 1, 1, 4, 0, 1
42, 2, 2, 3, 1, 1, 3, 4, 0, 1
45, 4, 4, 0, 1, 1, 2, 4, 0, 1
26, 4, 4, 1, 1, 1, 1, 4, 0, 1
27, 2, 4, 4, 1, 1, 1, 4, 0, 1
47, 1, 2, 3, 1, 1, 1, 3, 0, 1
26, 4, 3, 4, 1, 1, 2, 3, 0, 1
22, 4, 4, 0, 1, 1, 1, 1, 0, 1
21, 4, 4, 1, 1, 1, 1, 4, 0, 1
34, 4, 4, 3, 0, 0, 3, 3, 0, 1
36, 2, 3, 2, 1, 1, 3, 2, 1, 1
35, 4, 4, 2, 0, 1, 3, 3, 0, 1
45, 4, 4, 4, 1, 1, 2, 3, 0, 1
47, 1, 2, 4, 1, 1, 2, 2, 0, 1
40, 3, 3, 1, 1, 0, 3, 3, 0, 1
37, 3, 4, 1, 1, 1, 2, 4, 0, 1
25, 3, 2, 2, 1, 1, 3, 2, 0, 1
32, 2, 4, 0, 1, 0, 3, 4, 0, 1
25, 2, 4, 1, 1, 1, 2, 2, 0, 1
42, 1, 3, 12, 1, 1, 3, 3, 0, 1
42, 1, 4, 11, 0, 1, 2, 2, 1, 1
43, 1, 3, 8, 1, 1, 3, 1, 0, 1
32, 4, 4, 4, 1, 0, 1, 3, 0, 1
20, 2, 3, 1, 1, 1, 2, 4, 0, 1
39, 1, 1, 5, 1, 0, 3, 1, 1, 1
34, 4, 4, 2, 0, 1, 1, 4, 0, 1
34, 4, 4, 2, 1, 0, 1, 3, 0, 1
36, 4, 4, 2, 1, 1, 3, 3, 0, 1
35, 2, 3, 0, 1, 1, 2, 4, 0, 1
21, 3, 3, 0, 1, 1, 2, 2, 0, 1
35, 4, 4, 2, 0, 1, 3, 4, 0, 1
21, 1, 2, 1, 1, 0, 3, 4, 0, 1
47, 4, 4, 1, 0, 1, 1, 4, 0, 1
25, 2, 3, 0, 1, 1, 2, 4, 0, 1
42, 3, 3, 3, 1, 0, 2, 4, 0, 1
23, 3, 3, 2, 1, 1, 2, 2, 0, 1
25, 2, 3, 1, 1, 0, 2, 1, 0, 1
28, 2, 4, 1, 1, 0, 3, 4, 0, 1
48, 1, 1, 8, 1, 0, 2, 2, 1, 1
46, 1, 2, 3, 1, 1, 2, 1, 1, 1
32, 4, 4, 2, 1, 1, 1, 4, 0, 2
35, 4, 4, 5, 0, 0, 1, 4, 0, 2
36, 4, 4, 4, 0, 0, 1, 4, 0, 2
34, 4, 4, 3, 1, 1, 1, 4, 0, 2
44, 4, 4, 4, 1, 0, 2, 3, 0, 2
19, 4, 4, 1, 1, 1, 2, 3, 0, 2
38, 4, 4, 6, 1, 0, 3, 3, 0, 2
23, 4, 3, 3, 1, 1, 3, 3, 0, 2
25, 4, 4, 2, 1, 1, 2, 4, 0, 2
37, 2, 3, 7, 1, 1, 3, 4, 0, 2
32, 4, 4, 3, 0, 1, 3, 3, 0, 2
26, 3, 3, 2, 1, 1, 3, 2, 0, 2
41, 4, 4, 4, 1, 1, 1, 4, 0, 2
41, 3, 4, 5, 1, 1, 1, 3, 0, 2
37, 4, 4, 5, 1, 1, 3, 4, 0, 2
25, 2, 3, 1, 1, 0, 4, 4, 0, 2
39, 4, 4, 3, 1, 1, 1, 4, 0, 2
35, 3, 4, 3, 1, 1, 2, 2, 0, 2
27, 4, 4, 2, 1, 0, 1, 3, 0, 2
46, 4, 4, 3, 0, 0, 1, 4, 0, 2
39, 4, 4, 5, 1, 1, 1, 4, 0, 2
45, 4, 4, 4, 1, 1, 1, 4, 0, 2
27, 2, 2, 5, 1, 1, 3, 1, 0, 3
28, 1, 2, 4, 1, 1, 2, 3, 0, 3
30, 2, 2, 4, 1, 1, 2, 1, 0, 3
29, 2, 4, 3, 1, 1, 3, 3, 0, 3
29, 1, 2, 5, 1, 0, 1, 2, 0, 3
25, 4, 4, 3, 1, 1, 1, 4, 0, 3
32, 2, 3, 4, 1, 1, 3, 2, 0, 3
26, 4, 4, 4, 1, 1, 3, 4, 0, 3
43, 3, 3, 5, 1, 0, 3, 3, 0, 3
34, 2, 4, 4, 1, 1, 3, 3, 0, 3
24, 2, 2, 2, 1, 1, 3, 4, 0, 3
32, 4, 4, 2, 1, 0, 1, 3, 0, 3
29, 1, 3, 5, 1, 1, 3, 3, 0, 3
37, 4, 4, 4, 1, 1, 3, 2, 0, 3
35, 3, 4, 4, 1, 1, 1, 4, 0, 3
24, 2, 3, 2, 1, 1, 2, 1, 0, 3
34, 4, 4, 3, 1, 1, 1, 4, 0, 3
20, 4, 4, 2, 1, 1, 1, 3, 0, 3
30, 3, 4, 3, 1, 1, 2, 3, 0, 3
30, 1, 3, 4, 1, 1, 3, 4, 0, 3
28, 3, 4, 2, 1, 1, 2, 3, 0, 3
27, 4, 4, 3, 1, 1, 3, 4, 1, 3
33, 2, 2, 2, 1, 1, 3, 4, 0, 3
29, 3, 3, 4, 1, 1, 3, 4, 0, 3
26, 3, 4, 3, 1, 1, 3, 3, 0, 3
28, 3, 4, 5, 1, 1, 2, 4, 0, 3
33, 4, 4, 4, 1, 1, 2, 3, 0, 3
30, 4, 4, 2, 0, 0, 3, 3, 0, 3
30, 4, 4, 2, 1, 1, 4, 3, 0, 3
35, 1, 2, 5, 1, 1, 2, 2, 1, 3
29, 2, 3, 4, 1, 1, 3, 2, 0, 3
27, 2, 4, 4, 1, 1, 3, 4, 0, 3
35, 1, 2, 4, 1, 0, 4, 4, 0, 3
32, 4, 4, 3, 1, 0, 1, 4, 0, 3
22, 2, 2, 3, 1, 0, 3, 3, 0, 3
31, 4, 4, 3, 1, 1, 1, 4, 0, 3
29, 4, 4, 3, 1, 1, 3, 4, 0, 3
31, 4, 4, 3, 1, 1, 4, 4, 0, 3
26, 3, 2, 5, 1, 1, 2, 2, 0, 3
25, 2, 3, 4, 1, 0, 3, 2, 0, 3
25, 4, 4, 2, 1, 1, 3, 2, 0, 1
38, 2, 4, 3, 1, 1, 1, 3, 0, 1
41, 2, 4, 1, 1, 1, 2, 3, 0, 1
48, 4, 4, 4, 0, 1, 1, 4, 0, 1
37, 4, 4, 2, 1, 1, 1, 4, 0, 1
24, 3, 3, 2, 1, 0, 3, 2, 0, 1
45, 1, 1, 0, 0, 0, 2, 1, 0, 1
36, 1, 4, 2, 1, 1, 2, 2, 0, 1
35, 2, 3, 8, 1, 1, 3, 3, 1, 1
27, 3, 3, 4, 1, 1, 2, 4, 0, 1
24, 2, 3, 2, 1, 1, 3, 1, 0, 1
24, 3, 4, 2, 1, 1, 2, 4, 0, 1
23, 3, 4, 4, 1, 1, 3, 1, 1, 1
27, 3, 4, 0, 1, 0, 3, 3, 0, 1
30, 3, 4, 4, 0, 1, 2, 3, 0, 1
32, 4, 4, 3, 1, 1, 1, 4, 0, 1
26, 2, 3, 3, 1, 1, 3, 4, 0, 1
20, 3, 4, 0, 1, 1, 3, 3, 0, 1
45, 4, 4, 3, 1, 1, 1, 4, 0, 2
26, 3, 4, 3, 1, 1, 2, 3, 0, 2
38, 2, 3, 4, 1, 1, 1, 2, 0, 2
29, 3, 4, 3, 1, 1, 1, 3, 0, 2
35, 4, 4, 5, 1, 1, 2, 4, 0, 2
30, 2, 3, 5, 1, 1, 3, 1, 1, 2
32, 2, 1, 5, 1, 0, 2, 2, 0, 2
41, 3, 4, 3, 0, 1, 2, 4, 0, 2
31, 2, 2, 4, 1, 1, 4, 3, 1, 2
34, 4, 4, 4, 1, 0, 3, 3, 0, 2
34, 4, 4, 3, 1, 0, 3, 4, 0, 2
46, 3, 4, 4, 1, 0, 3, 4, 0, 3
29, 3, 3, 2, 1, 1, 3, 2, 0, 3
33, 4, 4, 2, 1, 0, 1, 4, 0, 3
33, 4, 4, 3, 0, 0, 2, 4, 0, 3
36, 1, 1, 5, 1, 1, 3, 3, 0, 3
34, 2, 3, 3, 0, 1, 3, 2, 1, 3
22, 2, 4, 2, 1, 1, 3, 2, 0, 3
